species,Numb,arrangment,inflType,perColor,vegHabitLike,APerianthLengthCm,inflLengthCm,numberCincinnalBracts,ovaryLengthMm,totalHtm,bWidthCm,bladeLengthCm,elev
laufao,95-5581,spiral,erect,orange_yellow,musa,2.9875,25.25,8.25,5.5,3.40625,28.25,80.4375,442.73333333333335
solomonensis,83-1523,distichous,pendent,white_green,musa,3.9714285714285715,49,10.285714285714286,6.857142857142857,5.357142857142857,37.57142857142857,165,1011.3333333333334
lanata,83-1520,spiral,pendent,yellow_green,musa,4.7250000000000005,32,11,8.25,4.125,38.75,140,630.75
papuana,83-1544,spiral_to_distichous,erect,white_green,musa,4.9125000000000005,25.875,6.75,13.25,4.25,34.75,176.25,610.1666666666666
metallica,92-3549,distichous,erect,pink_red_white,canna,2.814285714285714,9.214285714285714,3,2.4285714285714284,1.8571428571428572,12.857142857142858,48.57142857142857,342.32217573221754
clinophila,89-2811,distichous,erect,NA,canna,2.25,11,3,3.5,1.375,5.5,22.5,1248.68
tortuosa,94-4920,spiral,erect,yellow,musa,3.9549999999999996,21,4.85,4.3,2.2875,16.5,56.75,1136.6529411764707
aemygdiana,96-5686,spiral,erect,green,musa,3.02,23.6,7.6,3.8,2.7,22.8,106,488.77777777777777
obscuroides,90-3096,spiral,pendent,yellow_green,musa,3.8499999999999996,33.333333333333336,11.5,4.5,2.5833333333333335,26.833333333333332,110.16666666666667,676
bourgaeana,87-2222,distichous,erect,yellow,musa,5.9,47,10,7,2,37,110,427.92753623188406
vellerigera,96-5699,distichous,pendent,yellow,canna,3.3333333333333335,85.33333333333333,9.833333333333334,4.833333333333333,5.75,25.5,91.66666666666667,637.9565217391304
mucilagina,89-2572,spiral,pendent,yellow,musa,2.75,19.5,7,2.5,2.25,15,72.5,357.2
wagneriana,95-5431,distichous,erect,white_green,musa,1.6785714285714286,12.428571428571429,3.0714285714285716,1.5714285714285714,2.732142857142857,7.5,45.714285714285715,246.3918918918919
chrysocraspeda,89-2934,distichous,pendent,yellow,musa,2.65,36.5,6.5,5,3,16,57.5,800.1666666666666
spiralis,90-3163,spiral,pendent,yellow,musa,2.6714285714285713,20,4.714285714285714,2.4285714285714284,2.142857142857143,16.142857142857142,41.857142857142854,829.5
osaensis,97-5799,distichous,erect,orange_yellow,canna,0.5625,1.375,0.5625,0.5,2.0375,1.875,8.125,155.4390243902439
rodriguensis,91-3204,distichous,erect,white_green,musa,4.566666666666666,20.666666666666668,7.333333333333333,3.3333333333333335,2.5,24,128.33333333333334,428.6666666666667
darienensis,89-2705,NA,erect,yellow_green,musa,4.5,17,6,6,1.5,19,52,556.2857142857143
velutina,96-5695,distichous,erect,pink_red_green,musa_canna,4.025,18.75,6.25,4,1.9375,17.5,52,349.40909090909093
peteriana,89-2886,spiral,pendent,yellow,musa,2.5,25.75,5.5,3,2.375,15.5,50,1028
