ID,species,Lat_y,Long_x
14234,aurantiaca,16.53,-88.75
14248,aurantiaca,16.726,-91.077
14253,aurantiaca,16.929,-91.247
14257,aurantiaca,16.963,-91.26
14258,aurantiaca,16.914,-91.279
14262,aurantiaca,16.957,-91.251
14267,aurantiaca,16.808,-91.112
14278,aurantiaca,16.8,-91.105
14427,aurantiaca,17.18,-92.1
14428,aurantiaca,17.47,-92.04
14432,aurantiaca,17.55,-91.59
14467,aurantiaca,17.02,-89.05
14477,aurantiaca,17.15,-88.72
14485,aurantiaca,17.17,-88.77
16646,aurantiaca,15.773128,-88.880353
16997,aurantiaca,15.660576,-88.779867
17127,aurantiaca,10.96,-85.33
17304,aurantiaca,15.9833333,-89.2166667
17432,aurantiaca,17.09743,-91.210832
18179,aurantiaca,17.072385,-89.018326
18291,aurantiaca,16.514588,-90.062112
18300,aurantiaca,16.516875,-90.200939
18333,aurantiaca,16.2333333,-89
18425,aurantiaca,15.723015,-88.642072
20042,aurantiaca,13.67,-84.5
20043,aurantiaca,13.7666667,-84.9833333
20044,aurantiaca,13.74,-85
20131,aurantiaca,10.66,-85.05
20132,aurantiaca,10.66,-85.06
20189,aurantiaca,11.4666667,-85.5
20190,aurantiaca,11.45,-85.52
20191,aurantiaca,11.43,-85.5
20264,aurantiaca,12.8333333,-85.0833333
20266,aurantiaca,12.28,-85.1
20313,aurantiaca,13.74,-85.06
20314,aurantiaca,13.6,-85.63
20380,aurantiaca,13.97,-84.23
20381,aurantiaca,13.75,-84.9833333
20382,aurantiaca,13.66,-84.98
20399,aurantiaca,14.65,-84.0666667
20400,aurantiaca,14.67,-84.12
20415,aurantiaca,15.73,-87.45
20419,aurantiaca,16.68,-89.1
20422,aurantiaca,16.27,-88.88
20425,aurantiaca,16.14,-88.75
22247,aurantiaca,16.272778,-88.874167
22480,aurantiaca,16.73,-88.95
22507,aurantiaca,10.627778,-84.995833
16496,aurea,,
17860,aurea,7.9333333,-71.7333333
22671,aurea,10.348386,-67.684414
22672,aurea,10.348386,-67.684414
24393,aurea,,
4107,badilloi,3.620204,-76.806379
5077,badilloi,3.668559,-76.875865
22001,badilloi,,
22674,badilloi,3.536722,-76.705381
10240,barryana,8.77,-82.22
10435,barryana,8.75,-82.22
10481,barryana,8.45,-81.75
19330,barryana,8.769083,-82.199331
10974,beckneri,9.58,-84.06
11029,beckneri,9.81771,-84.481
11114,beckneri,9.57,-84.06
11204,beckneri,9.60694,-84.068054
11339,beckneri,9.46,-83.82
11341,beckneri,9.76773,-83.90292
11359,beckneri,9.53,-83.83
