Species,PolSyn_Color,Hue,Ratio_MidTop,Ratio_BotTop,Peduncule,L_corolla,L_corollaTube,Vol_ovary,Area_anther,L_stamen,L_corollaOpening,stamenExsertion,W_corollaTube_widest,W_corollaTube_narrowest,Ratio_Lcorolla_StraightestLine,Peduncle_Log,W_corollaTube_widest,W_corollaTube_narrowest,L_corollaOpening,Ratio_widest_narrowest,PC1,PC2,PC3,PC4,PolSyn_Coarse,Hue,Bicolored,Orientation,Fruit,Elevation,Inflo,,
Centropogon_comosus_29                    ,1,bright,0.670967742,0.64516129,37,47,35,864,27,52,9,23,10,4,1,3.610917913,10,4,9,0.4,1.933270141,-0.273784213,-1.1522572,-1.50888893,1,bright,yes,horizontal,berry,3007,solitary,,
Centropogon_congestus_LL21                ,3,bright,0.594965675,0.480549199,35,42,35,405,15,40,11,11,12,5,0.840555739,3.555348061,12,5,5,0.416666667,-0.288650094,1.11154676,-7.619185,-3.09168649,1,bright,no,vertical,berry,1796.8,solitary,,
Centropogon_cordifolius_LL106             ,1,bright,0.866666667,0.4,55,40,31,245,17.5,43,8,11,8,3,0.977598009,4.007333185,8,3,8,0.375,-0.040512281,1.996919734,-0.297978,0.48091273,1,bright,no,horizontal,berry,1539.322034,solitary,,
Centropogon_cornutus_LL28                 ,1,bright,1.036585366,0.670731707,50,45,35,180,30,65,12,20,12,8,0.97472564,3.912023005,12,8,5,0.666666667,2.024789494,1.540161408,1.116592,-2.96089194,1,bright,yes,horizontal,berry,748.4,solitary,,
Centropogon_costaricae_LL2                ,1,bright,0.941860465,0.302325581,35,35,24,72,12,25,3,1,6,3,1,3.555348061,6,3,3,0.5,-2.669295883,2.205525252,1.0093324,2.44927599,1,bright,no,vertical,berry,2349.2,solitary,,
Centropogon_dianae_LL195                  ,2,dull,0.75,0.611111111,85,60,45,2880,45,54,8,14,13,7,1,4.442651256,13,7,8,0.538461538,7.422870232,-1.324327891,-0.1868303,0.13864158,2,dull,no,vertical,berry,3483,solitary,,
Centropogon_dombeyanus_LL163              ,2,dull,0.754545455,0.627272727,147.5,50.5,24,3364,94.5,46.5,9,37,16,11,1,4.993828176,16,11,9,0.6875,8.361553637,-6.312293849,0.8228379,3.87695899,2,dull,no,vertical,berry,3100,solitary,,
Centropogon_eilserii_LL249                ,2,dull,0.526315789,0.473684211,150,62,45,2343.75,119,63,23,22,21,10,1,5.010635294,21,10,23,0.476190476,11.74509465,-3.936665207,-1.3578259,2.4824531,2,dull,no,horizontal,berry,2809.5,solitary,,
Centropogon_erythraeus_37                 ,1,bright,0.735294118,0.602941176,28.5,40.2,34,874.64,15.8,48,7,11.2,6.8,4.5,0.981244139,3.349904087,6.8,4.5,7,0.661764706,0.513541391,0.453305908,-1.3508851,-1.35811703,1,bright,no,horizontal,berry,2673.566667,solitary,,
Centropogon_featherstonei_LL158           ,1,bright,0.8125,0.5859375,50,34,25,245,21,25,4,6,6,5,1,3.912023005,6,5,4,0.833333333,-2.004598501,-0.710202612,0.4957356,1.00341957,1,bright,yes,vertical,berry,2975.714286,raceme,,
Centropogon_ferrugineus_LL1               ,1,bright,0.625,0.234375,77,36,38.5,90.75,10.5,44,7.5,15,7.5,2.5,0.991333836,4.343805422,7.5,2.5,7.5,0.333333333,0.422020868,2.977590733,-1.7510529,1.98479962,1,bright,yes,horizontal,berry,2710.3,solitary,,
Centropogon_ferrugineus_LL33              ,1,bright,0.722222222,0.333333333,60,36,20,311.04,14,36,2,12,7,4,0.996989085,4.094344562,7,4,2,0.571428571,-1.361032041,0.915656552,-0.7118765,2.53259149,1,bright,yes,horizontal,berry,2710.3,solitary,,
Centropogon_glabrifilis_41                ,1,bright,0.769230769,0.307692308,32,35,29,320,13,43,6,16,7,4,1,3.465735903,7,4,6,0.571428571,-0.931790244,2.497906252,-0.5529545,1.52881091,1,bright,yes,horizontal,berry,2982.9,solitary,,
Centropogon_grandidentatus_LL47           ,1,bright,0.888888889,0.319444444,32,32,27,245,16,52,8,22,8,3,0.952176781,3.465735903,8,3,8,0.375,-0.859144092,2.803188908,-1.3778884,0.13018955,1,bright,yes,horizontal,berry,1810.5,solitary,,
