phylogeny,scientificname,decimallatitude,decimallongitude,Subclade
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,5.4463,-76.0622,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,6.25,-77.31666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,6.53419,-76.3194,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,6.53628,-76.3208,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,6.55,-76.31667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,6.74237,-75.34509,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,7.10802,-75.4916,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,7.11666,-75.46666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,7.98333,-78.36666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8,-77.75,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.48222,-81.09805,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.48222,-81.09805,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.48222,-81.09805,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.48222,-81.09805,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.48222,-81.09805,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.5,-81.16667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.50722,-81.1075,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.50833,-81.80833,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.51083,-81.12556,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.51083,-81.12556,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.51222,-81.12806,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.51222,-81.12805,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.51333,-81.11667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.51361,-81.11555,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.51666,-81.12,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.51666,-81.11666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.51666,-81.11666,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.53333,-81.11667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.53333,-81.11667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.53333,-81.11667,Burmeistera
Burmeistera_cyclostigmata,Burmeistera cyclostigmata Donn.Sm.,8.53333,-81.11666,Burmeistera
