Taxon,agar,beta.agarase.BLAST,alginate.alginic acid,alginate.lyase,amylopectin,carrageenan,carrageenan.lysase.BLAST,cellulose,chitin,chitinase.BLAST,chondroitin.sulfate,chondroitin.sulfatase.BLAST,fucoidan,heparinase.BLAST,laminarin,pectin,pectinase.BLAST,ulvan.polysaccharides,aerobic.microaerophilic,anaerobic,habitat,freshwater,brackish,marine,hypersaline
Bacteroides.salanitronis.DSM18170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Bacteroides.stercoris.ATCC43183,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0
Bacteroides.vulgatus.ATCC8482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
Bacteroides.xylanisolvens.JCM15633,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
Balneola.vulgaris.DSM17893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0&1,1,1,0,0
Barnesiella.intestinihominis.YIT11860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Barnesiella.viscericola.DSM18177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Belliella.baltica.DSM15883,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0&1,1,1,0,0
Bizionia.argentinensis.JUB59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1&2&3,0,1,1,1
Candidatus.Azobacteroides.pseudotrichonymphae.genCFP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
Capnocytophaga.cynodegmi.DSM19736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Capnocytophaga.gingivalis.ATCC33624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Capnocytophaga.granulosa.ATCC51502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Capnocytophaga.ochracea.DSM7271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Capnocytophaga.sputigena.ATCC33612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Cecembia.lonarensis.LW9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0&1&2,1,1,1,0
Cellulophaga.algicola.DSM14237,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1&2,0,1,1,0
Cellulophaga.lytica.DSM7489,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
Cesiribacter.andamanensis.AMV16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2&3,0,0,1,1
Chitinophaga.pinensis.DSM2588,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0&1,1,1,0,0
Chlorobaculum.parvum.NCIB8327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
Chlorobium.chlorochromatii.CaD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
Chlorobium.ferrooxidans.DSM13031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?
